epoch,training_loss,test_loss,accuracy
1,1.909,1.563,0.4234888888888889
2,1.448,1.352,0.5068777777777778
3,1.293,1.281,0.5336222222222222
4,1.217,1.249,0.5536444444444445
5,1.157,1.196,0.5761333333333334
6,1.109,1.198,0.5665888888888889
7,1.074,1.176,0.5843333333333334
8,1.046,1.163,0.5878666666666666
9,1.03,1.128,0.6018
10,1.005,1.129,0.6008555555555556
11,0.987,1.112,0.6035222222222222
12,0.981,1.16,0.5924888888888888
13,0.964,1.12,0.6079222222222223
14,0.953,1.129,0.6018222222222223
15,0.939,1.108,0.6101222222222222
16,0.928,1.15,0.6068444444444444
17,0.929,1.126,0.6063888888888889
18,0.918,1.161,0.5965333333333334
19,0.913,1.112,0.6084444444444445
20,0.904,1.133,0.6041888888888889
21,0.896,1.096,0.6155
22,0.89,1.145,0.6044777777777778
23,0.891,1.122,0.6074222222222222
24,0.879,1.086,0.6200111111111111
25,0.878,1.105,0.6149333333333333
26,0.877,1.115,0.6142888888888889
27,0.867,1.136,0.6058777777777777
28,0.873,1.12,0.6114555555555555
29,0.862,1.091,0.6217777777777778
30,0.864,1.145,0.605
31,0.861,1.125,0.6104555555555555
32,0.861,1.13,0.6139444444444444
33,0.854,1.113,0.615
34,0.86,1.083,0.6217444444444444
35,0.854,1.109,0.6191888888888889
36,0.854,1.091,0.6233
37,0.849,1.073,0.6261333333333333
38,0.849,1.159,0.6047666666666667
39,0.847,1.097,0.6201555555555556
40,0.845,1.129,0.6066444444444444
41,0.852,1.116,0.6150111111111111
42,0.845,1.097,0.6220111111111111
43,0.843,1.155,0.6059333333333333
44,0.841,1.097,0.6206666666666667
45,0.84,1.08,0.6288222222222222
46,0.838,1.1,0.6194
47,0.836,1.128,0.6100111111111111
48,0.839,1.088,0.6243222222222222
49,0.84,1.088,0.6273333333333333
50,0.836,1.078,0.6237444444444444
