epoch,training_loss,test_loss,accuracy
1,2.043,1.626,0.3979666666666667
2,1.5,1.427,0.47576666666666667
3,1.332,1.295,0.5359222222222222
4,1.232,1.215,0.5681555555555555
5,1.165,1.197,0.5729111111111111
6,1.124,1.219,0.5665555555555556
7,1.083,1.178,0.5765888888888889
8,1.052,1.148,0.5923777777777778
9,1.026,1.156,0.5949
10,1.01,1.154,0.5932666666666667
11,0.986,1.14,0.5999777777777778
12,0.968,1.112,0.6053222222222222
13,0.955,1.125,0.6051444444444445
14,0.949,1.096,0.6100777777777778
15,0.935,1.128,0.6025444444444444
16,0.932,1.115,0.6079333333333333
17,0.918,1.126,0.6014555555555555
18,0.915,1.105,0.6124
19,0.903,1.126,0.6046222222222222
20,0.898,1.105,0.6141888888888889
21,0.895,1.104,0.6149888888888889
22,0.893,1.097,0.6215
23,0.881,1.124,0.6063222222222222
24,0.879,1.097,0.6157222222222222
25,0.874,1.098,0.6191666666666666
26,0.876,1.12,0.6067666666666667
27,0.875,1.086,0.6220555555555556
28,0.871,1.093,0.6198444444444444
29,0.864,1.11,0.6166111111111111
30,0.869,1.121,0.6052111111111111
31,0.859,1.1,0.6169555555555556
32,0.864,1.106,0.6146777777777778
33,0.859,1.121,0.6110777777777778
34,0.856,1.096,0.6158111111111111
35,0.853,1.092,0.6212888888888889
36,0.855,1.116,0.6124777777777778
37,0.851,1.106,0.6185555555555555
38,0.848,1.093,0.618
39,0.843,1.132,0.6129666666666667
40,0.856,1.06,0.6268333333333334
41,0.847,1.072,0.6283888888888889
42,0.846,1.1,0.6193555555555555
43,0.846,1.108,0.6171666666666666
44,0.847,1.108,0.6137333333333334
45,0.838,1.109,0.6174888888888889
46,0.834,1.091,0.6160555555555556
47,0.837,1.11,0.6166222222222222
48,0.839,1.115,0.6172666666666666
49,0.837,1.063,0.6320222222222223
50,0.841,1.1,0.6174555555555555
