epoch,training_loss,test_loss,accuracy
1,1.977,1.616,0.40294444444444444
2,1.55,1.506,0.4533888888888889
3,1.427,1.348,0.5183333333333333
4,1.341,1.277,0.5387777777777778
5,1.295,1.232,0.558
6,1.258,1.204,0.5662444444444444
7,1.233,1.2,0.5703222222222222
8,1.216,1.176,0.5766777777777777
9,1.198,1.197,0.5748666666666666
10,1.182,1.131,0.5956777777777778
11,1.175,1.165,0.5892555555555555
12,1.163,1.134,0.5971
13,1.156,1.132,0.5943555555555555
14,1.153,1.13,0.597
15,1.146,1.112,0.6051555555555556
16,1.138,1.125,0.5973555555555555
17,1.126,1.094,0.6124333333333334
18,1.128,1.145,0.5974111111111111
19,1.124,1.107,0.6078555555555556
20,1.117,1.084,0.6145444444444444
21,1.114,1.079,0.6134666666666667
22,1.114,1.083,0.6149333333333333
23,1.113,1.127,0.6016444444444444
24,1.112,1.089,0.6115
25,1.104,1.091,0.6110111111111111
26,1.105,1.091,0.6133555555555555
27,1.102,1.077,0.6187888888888889
28,1.1,1.062,0.6221777777777778
29,1.095,1.091,0.6150444444444444
30,1.092,1.082,0.6141111111111112
31,1.096,1.097,0.6100333333333333
32,1.094,1.078,0.6158777777777777
33,1.096,1.081,0.6157777777777778
34,1.094,1.067,0.6202777777777778
35,1.092,1.065,0.6242444444444445
36,1.088,1.073,0.6172777777777778
37,1.085,1.066,0.6217333333333334
38,1.08,1.159,0.5914444444444444
39,1.088,1.055,0.6270222222222223
40,1.081,1.056,0.6244
41,1.087,1.074,0.6205666666666667
42,1.083,1.041,0.6299444444444444
43,1.079,1.123,0.6048888888888889
44,1.084,1.151,0.5939666666666666
45,1.084,1.063,0.6217
46,1.08,1.035,0.6332333333333333
47,1.08,1.067,0.6193111111111111
48,1.08,1.074,0.6213777777777778
49,1.078,1.061,0.6211333333333333
50,1.079,1.059,0.6221888888888889
